Package,Applications,Description,Link
RAPTOR,Dendrochronology,Row and Position Tracheid Organizer,https://cran.r-project.org/web/packages/RAPTOR/index.html 
tracheideR,Dendrochronology,Standardize Tracheidograms,https://cran.r-project.org/web/packages/tracheideR/index.html 
TRADER,Dendrochronology,Tree Ring Analysis of Disturbance Events in R,https://cran.r-project.org/web/packages/TRADER/index.html 
treeclim,Dendrochronology,Numerical Calibration of Proxy-Climate Relationships,https://cran.r-project.org/web/packages/treeclim/index.html 
EcoHydrology,Hydrology,A package containing a library of principle/fundamental equations used in the interdisciplinary field studying the complex interactions between hydrology and ecology (commonly referred to as Eco-Hydrology).,https://r-forge.r-project.org/projects/ecohydrology/
TreeTalkersCheck,Informatics/IoT,An alert system to daily monitoring of TreeTalkers devices,https://github.com/saveriofrancini/TreeTalkersCheck
baad,Inventory/Mensuration,a Biomass And Allometry Database for woody plants,https://github.com/dfalster/baad
basifoR,Inventory/Mensuration,Retrieval and Processing of the Spanish National Forest Inventory,https://cran.r-project.org/web/packages/basifoR/index.html
BIEN,Inventory/Mensuration,Tools for Accessing the Botanical Information and Ecology Network Database,https://cran.r-project.org/web/packages/BIEN/BIEN.pdf
BIOMASS,Inventory/Mensuration,Estimating Aboveground Biomass and ITs Uncertainty in Tropical Forests,https://cran.r-project.org/web/packages/BIOMASS/index.html 
cffdrs,Inventory/Mensuration,Canadian Forest Fire Danger Rating System,https://cran.r-project.org/web/packages/cffdrs/index.html
dendrometeR,Inventory/Mensuration,Analyzing Dendrometer Data,https://cran.r-project.org/web/packages/dendrometeR/index.html 
fdq,Inventory/Mensuration,Forest Data Quality,https://cran.r-project.org/web/packages/fdq/index.html 
fgeo,Inventory/Mensuration,Analyze Forest Diversity and Dynamics,https://cran.r-project.org/web/packages/fgeo/index.html 
fgeo.analyze,Inventory/Mensuration,Analyze ForestGEO Data,https://cran.r-project.org/web/packages/fgeo.analyze/index.html 
fgeo.plot,Inventory/Mensuration,Plot ForestGEO Data,https://cran.r-project.org/web/packages/fgeo.plot/index.html 
fgeo.tool,Inventory/Mensuration,Import and Manipulate ForestGEO Data,https://cran.r-project.org/web/packages/fgeo.tool/index.html 
fgeo.x,Inventory/Mensuration,Access Small ForestGEO Datasets for Examples,https://cran.r-project.org/web/packages/fgeo.x/index.html 
FI,Inventory/Mensuration,Provide functions for forest inventory calculations,https://cran.r-project.org/web/packages/FI/index.html
florestal,Inventory/Mensuration,Results for Forest Inventories,https://cran.r-project.org/web/packages/florestal/index.html
forestChange,Inventory/Mensuration,Computing Essential Biodiversity Variables from Global Forest Change Data,https://cran.r-project.org/web/packages/forestChange/index.html 
forestHES,Inventory/Mensuration,Forest Health Evaluation System at the Forest Stand Level in China,https://cran.r-project.org/web/packages/forestHES/index.html 
forestinventory,Inventory/Mensuration,Design-Based Global and Small-Area Estimations for Multiphase Forest Inventories,https://cran.r-project.org/web/packages/forestinventory/index.html
forestmangr,Inventory/Mensuration,Forest Mensuration and Management,https://cran.r-project.org/web/packages/forestmangr/
forestsamplr,Inventory/Mensuration,Standard Forest Sampling Design Workups,https://github.com/SilviaTerra/forestsamplr
forestSAS,Inventory/Mensuration,Forest Spatial Structure Analysis Systems,https://cran.r-project.org/web/packages/forestSAS/index.html 
ForIT,Inventory/Mensuration,Functions from the 2nd Italian Forest Inventory (INFC),https://cran.r-project.org/web/packages/ForIT/ForIT.pdf
fritools,Inventory/Mensuration,Utilities for the Forest Research Institute of the State Baden-Wuerttemberg,https://cran.r-project.org/web/packages/fritools/index.html
gfcanalysis,Inventory/Mensuration,Tools for working with Hansen et al. Global Forest Change Dataset,https://cran.r-project.org/web/packages/gfcanalysis/index.html 
lmfor,Inventory/Mensuration,Functions for Forest Biometrics,https://cran.r-project.org/package=lmfor 
mangroveStructure,Inventory/Mensuration,"Set of tools to calculate mangrove forest structure using either the Point-Centered Quarter Method or fixed-area sampling methods (i.e., square, rectangular or circular plot designs). Outputs include density, diameter, basal area, height, as well as relative comparisons of density, dominance, frequency, and importance value (IV). Output also includes functions for common structural indices [e.g., Holdridge Complexity Index (Holdridge 1967) and Mean Stand Diameter (Cintrón and Schaeffer Novelli 1984)] and visual representations of relative values and canopy height.",https://github.com/gshideler/mangroveStructure
novelforestSG,Inventory/Mensuration,Data for Lai et al. (2021) Appl. Veg. Sci,https://cran.r-project.org/web/packages/novelforestSG/index.html
rFIA,Inventory/Mensuration,Space-Time Estimation of Forest Variables using the FIA Database,https://cran.r-project.org/web/packages/rFIA/rFIA.
tidyFIA,Inventory/Mensuration,Assemble Forest Inventory and Analysis (FIA) Data for Analysis,https://github.com/SilviaTerra/tidyFIA
caliver,Modelling/Simulation,An R package for the calibration and verification of gridded models,https://github.com/ecmwf/caliver
DGVM3D,Modelling/Simulation,3D Forest Simulation Visualization Tool,https://cran.r-project.org/web/packages/DGVM3D/index.html 
ETpartitioning,Modelling/Simulation,Eddy covariance ET flux partitioning using physiological approaches,https://github.com/oscarperezpriego/ETpartitioning
Fgmutils,Modelling/Simulation,Forest Growth Model Utilities,https://cran.r-project.org/web/packages/Fgmutils/index.html 
forestecology,Modelling/Simulation,Methods and Data for Forest Ecology Model Fitting and Assessment ,https://cran.r-project.org/web/packages/forestecology/index.html
ForestFit,Modelling/Simulation,Statistical Modelling for Plant Size Distributions,https://cran.r-project.org/web/packages/ForestFit/ForestFit.pdf
HMB,Modelling/Simulation,Hierarchical Model-Based Estimation Approach,https://cran.r-project.org/web/packages/HMB/index.html
medfate,Modelling/Simulation,Mediterranean Forest Simulation,https://cran.r-project.org/web/packages/medfate/index.html 
modEvA,Modelling/Simulation,modEvA is an R package for species distribution model evaluation and analysis.,https://r-forge.r-project.org/projects/modeva/
mvabund,Modelling/Simulation,"A set of tools for displaying, modeling and analysing multivariate abundance data in community",https://r-forge.r-project.org/projects/mvabund/
r3PG,Modelling/Simulation,Simulation Forest Growth using the 3-PG Model,https://cran.r-project.org/web/packages/r3PG/index.html 
chillR,Phenology,Statistical Methods for Phenology Analysis in Temperate Fruit Trees,https://cran.r-project.org/web/packages/chillR/index.html 
npphen,Phenology,Vegetation Phenological Cycle and Anomaly Detection using Remote Sensing Data,https://cran.r-project.org/web/packages/npphen/index.html
phenesse,Phenology,Estimate phenological metrics using presence-only data,https://cran.r-project.org/web/packages/phenesse/index.html 
phenex,Phenology,Auxiliary Function for Phenological Data Analysis,https://cran.r-project.org/web/packages/phenex/index.html 
phenmod,Phenology,"Auxiliary functions for phenological data process, modelling, and result handling",https://cran.r-project.org/web/packages/phenmod/index.html 
pheno,Phenology,Auxiliary functions for phenological data analysis,https://cran.r-project.org/web/packages/pheno/index.html 
phenocamapi,Phenology,Interacting with the PhenoCam Data and API,https://cran.r-project.org/web/packages/phenocamapi/index.html 
phenocamr,Phenology,Facilitates “PhenoCam” Data Access and Time Series Post-Processing,https://cran.r-project.org/web/packages/phenocamr/index.html 
phenoCDM,Phenology,Continuous Development Models for Incremental Time-Series Analysis,https://cran.r-project.org/web/packages/phenoCDM/index.html 
phenofit,Phenology,Extract Remotes Sensing Vegetation Phenology,https://cran.r-project.org/web/packages/phenoCDM/index.html 
phenomap,Phenology,projecting Satellite-Derived Phenology in Space,https://cran.r-project.org/web/packages/phenomap/index.html 
phenopix,Phenology,Process Digital images of vegetation cover,https://cran.r-project.org/web/packages/phenopix/index.html 
phenor,Phenology,A package for rapid phenology model development.,https://rdrr.io/github/khufkens/phenor/man/phenor.html 
AMAPVox,Remote Sensing,LiDAR Data Voxelisation,https://cran.r-project.org/web/packages/AMAPVox/index.html
canopyLazR,Remote Sensing,"R package to estimate leaf area density (LAD), leaf area index (LAI), and forest structural attributes from airborne LiDAR point clouds.",https://github.com/akamoske/canopyLazR 
ecochange,Remote Sensing,Integrating Ecosystem Remote Sensing Products to Derive EBV Indicators,https://cran.r-project.org/web/packages/ecochange/index.html
fieldRS,Remote Sensing,Remote Sensing Field Work Tools,https://cran.r-project.org/web/packages/fieldRS/index.html
ForestGapR,Remote Sensing,Tropical Forest Gaps Analysis ,https://cran.r-project.org/web/packages/ForestGapR/index.html
forestr,Remote Sensing,Ecosystem and Canopy Structural Complexity Metrics from LiDAR,https://cran.r-project.org/web/packages/forestr/index.html 
ForestTools,Remote Sensing,Analyzing Remotely Sensed Forest Data,https://cran.r-project.org/web/packages/ForestTools/index.html
FORTLS,Remote Sensing,Automatic Processing of TLS Point Cloud Data for Forestry Purposes,https://cran.r-project.org/web/packages/FORTLS/index.html
foster,Remote Sensing,Forest Structure Extrapolation with R,https://cran.r-project.org/web/packages/foster/index.html
hsdar,Remote Sensing,"Manage, analyze and simulate hyperspectral data",https://cran.r-project.org/web/packages/hsdar/index.html 
hyperspec,Remote Sensing,"Work with Hyperspectral Data, i.e. Spectra + Meta Information (Spatial, Time, Concentration, ...)",https://cran.r-project.org/web/packages/hyperSpec/index.html 
hypRspec,Remote Sensing,"Work with Hyperspectral Data, i.e. Spectra + Meta Information (Spatial, Time, Concentration, ...)",https://github.com/akamoske/hypRspec
leafR,Remote Sensing,Calculates the Leaf Area Index (LAD) and Other Related Functions,https://cran.r-project.org/web/packages/leafR/index.html
lidarRtRee,Remote Sensing,"Forest Analysis with Airborne, Laser Scanning (LiDAR) Data",https://cran.r-project.org/web/packages/lidaRtRee/index.html
lidR,Remote Sensing,Airborne LiDAR Data Manipulation and Visualization for Forestry Applications,https://cran.r-project.org/web/packages/lidR/index.html
link2GI,Remote Sensing,"Linking Geographic Information Systems, Remote Sensing and Other Command Line Tools",https://cran.r-project.org/web/packages/link2GI/index.html
LSRS,Remote Sensing,Land surface remote sensing,https://cran.r-project.org/web/packages/LSRS/index.html
nightmares,Remote Sensing,Common Analysis with Remote Sensing Data,https://cran.r-project.org/web/packages/nightmares/index.html
PROTOLIDAR,Remote Sensing,PRocess TOol LIdar DAta in R,https://cran.r-project.org/web/packages/PROTOLIDAR/index.html
RCSF,Remote Sensing,Airborne LiDAR Filtering Method Based on Cloth Simulation,https://cran.r-project.org/web/packages/RCSF/index.html
rGEDI,Remote Sensing,NASA's Global Ecosystem Dynamics Investigation (GEDI) Data Visualization and Processing,https://cran.rstudio.com/web/packages/rGEDI/index.html
rlas,Remote Sensing,Read and Write 'las' and 'laz' Binary File Formats Used for Remote Sensing Data,https://cran.r-project.org/web/packages/rlas/index.html
rLiDAR,Remote Sensing,LiDAR Data Processing and Visualization,https://cran.r-project.org/web/packages/rLiDAR/index.html
RSIP,Remote Sensing,Remote sensing and image processing,https://cran.r-project.org/web/packages/RSIP/index.html
RStoolbox,Remote Sensing,Tools for remote sensing data analysis,https://cran.r-project.org/web/packages/RStoolbox/index.html
satellite,Remote Sensing,Handling and Manipulating Remote Sensing Data,https://cran.r-project.org/web/packages/satellite/index.html
ShapeSelectForest,Remote Sensing,Shape Selection for Landsat time Series of Forest Dynamics,https://cran.r-project.org/web/packages/ShapeSelectForest/index.html 
Sky,Remote Sensing,Canopy Openness Analyzer Package,https://cran.r-project.org/web/packages/Sky/index.html 
TreeLS,Remote Sensing,Terrestrial Point Cloud Processing of Forest Data,https://cran.r-project.org/web/packages/TreeLS/index.html 
treetop,Remote Sensing,A Shiny-Based Application for Extracting Forest Information from LiDAR Data,https://cran.r-project.org/web/packages/treetop/index.html
