Package ,Applications,,Link
fgeo.tool,Inventory/Mensuration,Import and Manipulate ForestGEO Data,https://cran.r-project.org/web/packages/fgeo.tool/index.html 
fgeo.x,Inventory/Mensuration,Access Small ForestGEO Datasets for Examples,https://cran.r-project.org/web/packages/fgeo.x/index.html 
Fgmutils,Modelling/Simulation,Forest Growth Model Utilities,https://cran.r-project.org/web/packages/Fgmutils/index.html 
FI,Inventory/Mensuration,Provide functions for forest inventory calculations,https://cran.r-project.org/web/packages/FI/index.html
filedRS,Remote Sensing,Remote Sensing Field Work Tools,https://cran.r-project.org/web/packages/fieldRS/index.html
florestal,Inventory/Mensuration,Results for Forest Inventories,https://cran.r-project.org/web/packages/florestal/index.html
forestChange,Inventory/Mensuration,Computing Essential Biodiversity Variables from Global Forest Change Data,https://cran.r-project.org/web/packages/forestChange/index.html 
forestecology,Modelling/Simulation,Methods and Data for Forest Ecology Model Fitting and Assessment ,https://cran.r-project.org/web/packages/forestecology/index.html
ForestFit,Modelling/Simulation,Statistical Modelling for Plant Size Distributions,https://cran.r-project.org/web/packages/ForestFit/ForestFit.pdf
ForestGapR,Remote Sensing,Tropical Forest Gaps Analysis ,https://cran.r-project.org/web/packages/ForestGapR/index.html
forestHES,Inventory/Mensuration,Forest Health Evaluation System at the Forest Stand Level in China,https://cran.r-project.org/web/packages/forestHES/index.html 
forestinventory,Inventory/Mensuration,Design-Based Global and Small-Area Estimations for Multiphase Forest Inventories,https://cran.r-project.org/web/packages/forestinventory/index.html
forestmangr,Inventory/Mensuration,Forest Mensuration and Management,https://cran.r-project.org/web/packages/forestmangr/
forestr,Remote Sensing,Ecosystem and Canopy Structural Complexity Metrics from LiDAR,https://cran.r-project.org/web/packages/forestr/index.html 
forestSAS,Inventory/Mensuration,Forest Spatial Structure Analysis Systems,https://cran.r-project.org/web/packages/forestSAS/index.html 
ForestTools,Remote Sensing,Analyzing Remotely Sensed Forest Data,https://cran.r-project.org/web/packages/ForestTools/index.html
ForIT,Inventory/Mensuration,Functions from the 2nd Italian Forest Inventory (INFC),https://cran.r-project.org/web/packages/ForIT/ForIT.pdf
FORTLS,Remote Sensing,Automatic Processing of TLS Point Cloud Data for Forestry Purposes,https://cran.r-project.org/web/packages/FORTLS/index.html
foster,Remote Sensing,Forest Structure Extrapolation with R,https://cran.r-project.org/web/packages/foster/index.html
fritools,Inventory/Mensuration,Utilities for the Forest Research Institute of the State Baden-Wuerttemberg,https://cran.r-project.org/web/packages/fritools/index.html
gfcanalysis,Inventory/Mensuration,Tools for working with Hansen et al. Global Forest Change Dataset,https://cran.r-project.org/web/packages/gfcanalysis/index.html 
HMB,Modelling/Simulation,Hierarchical Model-Based Estimation Approach,https://cran.r-project.org/web/packages/HMB/index.html
hsdar,Remote Sensing,"Manage, analyze and simulate hyperspectral data",https://cran.r-project.org/web/packages/hsdar/index.html 
hyperspec,Remote Sensing,"Work with Hyperspectral Data, i.e. Spectra + Meta Information (Spatial, Time, Concentration, ...)",https://cran.r-project.org/web/packages/hyperSpec/index.html 
hypRspec,Remote Sensing,"Work with Hyperspectral Data, i.e. Spectra + Meta Information (Spatial, Time, Concentration, ...)",https://github.com/akamoske/hypRspec
labdsv,Community Analysis,Ordination and Multivariate Analysis for Ecology,https://cran.r-project.org/web/packages/labdsv/index.html
leafR,Remote Sensing,Calculates the Leaf Area Index (LAD) and Other Related Functions,https://cran.r-project.org/web/packages/leafR/index.html
lidarRtRee,Remote Sensing,"Forest Analysis with Airborne, Laser Scanning (LiDAR) Data",https://cran.r-project.org/web/packages/lidaRtRee/index.html
lidR,Remote Sensing,Airborne LiDAR Data Manipulation and Visualization for Forestry Applications,https://cran.r-project.org/web/packages/lidR/index.html
lmfor,Inventory/Mensuration,Functions for Forest Biometrics,https://cran.r-project.org/package=lmfor 
measuRing,Dendrochronology,Detection and Control of Tree-Ring Widths on Scanned Image Sections,https://cran.r-project.org/web/packages/measuRing/index.html 
medfate,Modelling/Simulation,Mediterranean Forest Simulation,https://cran.r-project.org/web/packages/medfate/index.html 
novelforestSG,Inventory/Mensuration,Data for Lai et al. (2021) Appl. Veg. Sci,https://cran.r-project.org/web/packages/novelforestSG/index.html
npphen,Phenology,Vegetation Phenological Cycle and Anomaly Detection using Remote Sensing Data,https://cran.r-project.org/web/packages/npphen/index.html
phenesse,Phenology,Estimate phenological metrics using presence-only data,https://cran.r-project.org/web/packages/phenesse/index.html 
phenex,Phenology,Auxiliary Function for Phenological Data Analysis,https://cran.r-project.org/web/packages/phenex/index.html 
phenmod,Phenology,"Auxiliary functions for phenological data process, modelling, and result handling",https://cran.r-project.org/web/packages/phenmod/index.html 
pheno,Phenology,Auxiliary functions for phenological data analysis,https://cran.r-project.org/web/packages/pheno/index.html 
phenocamapi,Phenology,Interacting with the PhenoCam Data and API,https://cran.r-project.org/web/packages/phenocamapi/index.html 
phenocamr,Phenology,Facilitates “PhenoCam” Data Access and Time Series Post-Processing,https://cran.r-project.org/web/packages/phenocamr/index.html 
phenoCDM,Phenology,Continuous Development Models for Incremental Time-Series Analysis,https://cran.r-project.org/web/packages/phenoCDM/index.html 
phenofit,Phenology,Extract Remotes Sensing Vegetation Phenology,https://cran.r-project.org/web/packages/phenoCDM/index.html 
phenomap,Phenology,projecting Satellite-Derived Phenology in Space,https://cran.r-project.org/web/packages/phenomap/index.html 
phenopix,Phenology,Process Digital images of vegetation cover,https://cran.r-project.org/web/packages/phenopix/index.html 
phenor,Phenology,A package for rapid phenology model development.,https://rdrr.io/github/khufkens/phenor/man/phenor.html 
pointRes,Dendrochronology,Analyzing Pointer Years and Components of Resilience,https://cran.r-project.org/web/packages/pointRes/index.html 
r3PG,Modelling/Simulation,Simulation Forest Growth using the 3-PG Model,https://cran.r-project.org/web/packages/r3PG/index.html 
RAPTOR,Dendrochronology,Row and Position Tracheid Organizer,https://cran.r-project.org/web/packages/RAPTOR/index.html 
rFIA,Inventory/Mensuration,Space-Time Estimation of Forest Variables using the FIA Database,https://cran.r-project.org/web/packages/rFIA/rFIA.
rGEDI,Remote Sensing,NASA's Global Ecosystem Dynamics Investigation (GEDI) Data Visualization and Processing,https://cran.rstudio.com/web/packages/rGEDI/index.html
rLiDAR,Remote Sensing,LiDAR Data Processing and Visualization,https://cran.r-project.org/web/packages/rLiDAR/index.html
ShapeSelectForest,Remote Sensing,Shape Selection for Landsat time Series of Forest Dynamics,https://cran.r-project.org/web/packages/ShapeSelectForest/index.html 
Sky,Remote Sensing,Canopy Openness Analyzer Package,https://cran.r-project.org/web/packages/Sky/index.html 
tracheideR,Dendrochronology,Standardize Tracheidograms,https://cran.r-project.org/web/packages/tracheideR/index.html 
TRADER,Dendrochronology,Tree Ring Analysis of Disturbance Events in R,https://cran.r-project.org/web/packages/TRADER/index.html 
treeclim,Dendrochronology,Numerical Calibration of Proxy-Climate Relationships,https://cran.r-project.org/web/packages/treeclim/index.html 
TreeLS,Remote Sensing,Terrestrial Point Cloud Processing of Forest Data,https://cran.r-project.org/web/packages/TreeLS/index.html 
treetop,Remote Sensing,A Shiny-Based Application for Extracting Forest Information from LiDAR Data,https://cran.r-project.org/web/packages/treetop/index.html
vegan,Community Analysis,Community Ecology Package,https://cran.r-project.org/web/packages/vegan/index.html 
